,p,d,q,P,D,Q,m,AIC
116,3,1,0,3,1,3,12,900.8295216116196
117,1,1,0,0,1,2,12,900.8580819475627
118,3,1,2,2,1,1,12,900.8903833074685
119,0,1,2,2,1,2,12,900.9039388828845
120,3,1,1,0,1,1,12,900.9047381854537
121,2,1,3,0,1,0,12,900.91022201626
122,1,1,3,1,1,1,12,900.9234274095508
123,1,1,1,0,1,0,12,900.9713390341261
124,1,1,3,2,1,2,12,901.0244815643528
125,2,1,3,3,1,2,12,901.0273228476998
126,1,1,3,0,1,1,12,901.0344854498953
127,2,1,2,1,1,1,12,901.0461000644824
128,1,1,0,0,1,1,12,901.0521457732818
129,3,1,0,3,1,2,12,901.1053707959755
130,2,1,3,2,1,2,12,901.2376266950101
131,3,1,0,2,1,2,12,901.3036919170661
132,2,1,0,0,1,0,12,901.3373207796469
133,2,1,1,3,1,3,12,901.3569913620456
134,1,1,1,1,1,1,12,901.3992268282386
135,1,1,2,3,1,2,12,901.404940616284
136,2,1,2,1,1,0,12,901.4130377644533
137,3,1,0,0,1,0,12,901.4653640046772
138,0,1,1,1,1,0,12,901.4774119326588
139,3,1,3,1,1,0,12,901.5173567358935
140,2,1,1,3,1,2,12,901.5590040651653
141,2,1,0,1,1,1,12,901.593962075053
142,3,1,2,0,1,0,12,901.6028537346007
143,2,1,2,0,1,1,12,901.6478818007029
144,0,1,1,2,1,0,12,901.6591413472961
145,3,1,3,3,1,2,12,901.6656839910769
146,1,1,0,3,1,0,12,901.6729662706933
147,0,1,1,0,1,1,12,901.720822889416
148,0,1,1,0,1,2,12,901.7466181304796
149,3,1,1,0,1,0,12,901.7494220036234
150,3,1,3,0,1,1,12,901.811011829548
151,2,1,2,2,1,0,12,901.8607678154717
152,1,1,2,2,1,2,12,901.8628286324205
153,2,1,3,1,1,1,12,901.8691710568316
154,2,1,1,2,1,2,12,901.9031170026046
155,1,1,3,2,1,0,12,901.9284170741026
156,2,1,3,1,1,0,12,901.9286170961813
157,3,1,3,2,1,2,12,901.948623443906
158,1,1,1,1,1,0,12,902.0255305837795
159,1,1,1,2,1,0,12,902.0373600184946
160,2,1,2,0,1,2,12,902.0719651545795
161,2,1,3,0,1,1,12,902.0877858499119
162,1,1,3,0,1,2,12,902.097833914716
163,3,1,3,1,1,1,12,902.1210718388146
164,0,1,3,3,1,0,12,902.1891516230759
165,1,1,1,0,1,1,12,902.221152644307
166,1,1,1,0,1,2,12,902.238354049599
167,2,1,0,2,1,0,12,902.2888678102144
168,2,1,0,1,1,0,12,902.3312731396719
169,3,1,0,1,1,1,12,902.3497851613052
170,1,1,0,0,1,3,12,902.3542626254105
171,0,1,2,0,1,0,12,902.394557187831
172,2,1,0,0,1,2,12,902.4584658551773
173,0,1,2,1,1,1,12,902.4601909623334
174,3,1,2,2,1,3,12,902.4925601494774
175,3,1,2,3,1,1,12,902.496184871355
176,0,1,3,0,1,3,12,902.5156027398782
177,3,1,2,1,1,1,12,902.5406707445879
178,2,1,0,0,1,1,12,902.5418891077668
179,0,1,0,2,1,2,12,902.5660985252106
180,3,1,0,1,1,0,12,902.5891734739049
181,3,1,2,1,1,0,12,902.5939726531914
182,0,1,1,3,1,0,12,902.713895160223
183,3,1,0,0,1,1,12,902.7539616724406
184,3,1,3,0,1,0,12,902.7862884606927
185,0,1,0,1,1,2,12,902.8072425081295
186,3,1,2,0,1,1,12,902.8193716382805
187,2,1,3,2,1,0,12,902.8460545988897
188,3,1,0,2,1,0,12,902.9116982209699
189,3,1,3,0,1,2,12,902.9510365096911
190,1,1,2,0,1,0,12,902.9596967796659
191,2,1,1,0,1,0,12,902.9665078751586
192,2,1,3,0,1,2,12,902.9933227531052
193,3,1,3,2,1,0,12,903.0280894627745
194,3,1,1,2,1,0,12,903.1202901929198
195,3,1,0,0,1,2,12,903.1820914957659
196,0,1,2,1,1,0,12,903.2392418110697
197,0,1,1,0,1,3,12,903.2865942277017
198,1,1,1,3,1,0,12,903.2904845364674
199,3,1,1,0,1,3,12,903.2911229211096
200,3,1,1,0,1,2,12,903.3198498063313
201,2,1,2,3,1,0,12,903.3217499462187
202,0,1,2,2,1,0,12,903.3572282568291
203,1,1,2,1,1,1,12,903.3992851188762
204,0,1,0,1,1,3,12,903.3996383805263
205,2,1,1,1,1,1,12,903.3999874212228
206,2,1,0,3,1,0,12,903.404586712961
207,0,1,2,0,1,2,12,903.4437724022474
208,0,1,2,0,1,1,12,903.47434073731
209,3,1,2,3,1,2,12,903.5799215457931
210,2,1,2,0,1,3,12,903.7141080708673
211,1,1,3,3,1,0,12,903.7962588189895
212,1,1,1,0,1,3,12,903.9058279559082
213,3,1,2,2,1,2,12,903.9140789538002
214,1,1,3,0,1,3,12,904.0014634496225
215,1,1,2,1,1,0,12,904.0095354471983
216,2,1,1,1,1,0,12,904.0190695880381
217,1,1,2,2,1,0,12,904.0342520911927
218,2,1,1,2,1,0,12,904.0361643741111
219,2,1,0,0,1,3,12,904.0416654178056
220,1,1,2,0,1,1,12,904.2042145932489
221,2,1,1,0,1,1,12,904.2142629660876
222,0,1,0,2,1,1,12,904.2335338450057
223,1,1,2,0,1,2,12,904.238122190721
224,2,1,1,0,1,2,12,904.238267309961
225,3,1,3,0,1,3,12,904.3077177691645
226,0,1,2,3,1,0,12,904.3283627063806
227,2,1,3,3,1,0,12,904.4697530371984
228,3,1,0,3,1,0,12,904.5710344581705
229,2,1,3,0,1,3,12,904.7355783649344
230,0,1,2,0,1,3,12,904.9466522796552
231,3,1,1,3,1,0,12,904.978192991746
232,0,1,0,0,1,0,12,905.0652098991067
233,3,1,0,0,1,3,12,905.0784143802479
234,3,1,2,2,1,0,12,905.0803200926367
235,0,1,0,3,1,3,12,905.2061256005584
236,0,1,0,1,1,0,12,905.2258749831814
237,3,1,2,0,1,2,12,905.2799077374333
238,1,1,2,3,1,0,12,905.2846556120302
239,2,1,1,3,1,0,12,905.288536965669
240,0,1,0,3,1,1,12,905.3138663944864
241,0,1,0,0,1,1,12,905.4188804888214
242,1,1,2,0,1,3,12,905.9055066524112
243,2,1,1,0,1,3,12,905.9057168701968
244,3,1,3,3,1,0,12,905.9460542491495
245,0,1,0,1,1,1,12,906.0582976899356
246,0,1,0,2,1,3,12,906.0753498752788
247,0,1,0,0,1,2,12,906.8885882986863
248,3,1,2,3,1,0,12,906.8888800895581
249,0,1,0,2,1,0,12,906.9401470251408
250,3,1,2,0,1,3,12,907.1818749421918
251,0,1,0,3,1,2,12,907.4677718494536
252,0,1,0,3,1,0,12,908.7425826272414
253,0,1,0,0,1,3,12,908.781405054007
