p,d,q,P,D,Q,m,AIC
1,1,0,3,0,3,4,1800.434284179047
0,1,1,3,0,3,4,1800.5011708640886
3,1,3,3,0,0,4,1800.508130359362
2,1,2,2,0,3,4,1800.5316400857032
0,1,0,1,0,0,4,1800.602265763425
2,1,1,0,0,1,4,1800.6618392407604
3,1,0,3,0,2,4,1800.6628495506475
3,1,1,2,0,2,4,1800.6635004285158
1,1,2,1,0,0,4,1800.7982365597904
3,1,0,2,0,3,4,1800.8389095477512
3,1,3,0,0,3,4,1800.9325373876522
2,1,2,2,0,1,4,1800.9578644017975
0,1,3,3,0,2,4,1801.0004329307985
3,1,3,1,0,1,4,1801.0516097964223
1,1,1,0,0,1,4,1801.142692405804
2,1,1,1,0,0,4,1801.143740308331
0,1,3,2,0,3,4,1801.172868898006
1,1,3,3,0,3,4,1801.1756081939739
0,1,2,3,0,3,4,1801.2981576219659
0,1,0,3,0,0,4,1801.298225660388
0,1,0,2,0,0,4,1801.313683606575
2,1,2,3,0,1,4,1801.3278182201593
2,1,0,3,0,3,4,1801.4047628154462
1,1,2,3,0,0,4,1801.432300748294
1,1,2,0,0,0,4,1801.4564018296085
3,1,3,1,0,2,4,1801.4574614951384
1,1,2,2,0,0,4,1801.4606525282184
3,1,3,2,0,1,4,1801.5105052083484
2,1,1,2,0,0,4,1801.5171661083164
2,1,3,3,0,2,4,1801.690697228872
2,1,3,2,0,3,4,1801.7314062475775
1,1,3,0,0,0,4,1801.782088277714
2,1,1,3,0,0,4,1801.8018851809488
1,1,2,0,0,3,4,1801.8043842785446
1,1,3,0,0,1,4,1801.8070372245065
0,1,0,0,0,3,4,1801.833124797718
3,1,2,2,0,3,4,1801.9264178286999
3,1,2,3,0,2,4,1801.957890360889
0,1,0,0,0,2,4,1801.9598444505932
1,1,2,0,0,2,4,1801.9742715649118
1,1,1,2,0,0,4,1801.9868483036316
1,1,1,1,0,0,4,1801.9997474791157
0,1,0,2,0,1,4,1802.0014127045304
2,1,3,0,0,0,4,1802.006849294972
3,1,1,2,0,3,4,1802.0136398897682
1,1,0,0,0,1,4,1802.0213050501156
0,1,0,1,0,1,4,1802.0274637481343
0,1,1,0,0,1,4,1802.0280440338584
2,1,1,0,0,3,4,1802.1151316683463
1,1,1,3,0,0,4,1802.1182480355644
0,1,2,0,0,1,4,1802.127046030588
2,1,0,0,0,1,4,1802.1307399220832
1,1,3,1,0,0,4,1802.1848313937599
3,1,1,0,0,1,4,1802.290019067599
3,1,1,3,0,2,4,1802.3906281913364
1,1,2,1,0,1,4,1802.4270834842475
1,1,2,2,0,1,4,1802.455471678139
3,1,0,0,0,1,4,1802.4943873028128
2,1,1,0,0,2,4,1802.4948473291975
2,1,1,0,0,0,4,1802.5182892136295
1,1,0,1,0,0,4,1802.5689523915291
0,1,1,1,0,0,4,1802.5835826658072
2,1,1,1,0,1,4,1802.600138714136
3,1,0,3,0,3,4,1802.722134150733
1,1,1,0,0,3,4,1802.729572503958
3,1,3,3,0,1,4,1802.7376270575692
3,1,1,1,0,0,4,1802.7660616436594
2,1,1,2,0,1,4,1802.7678497833317
0,1,2,1,0,0,4,1802.8575349322875
3,1,3,1,0,3,4,1802.8680315428794
0,1,0,1,0,3,4,1802.9097905527276
2,1,0,1,0,0,4,1802.947936293303
0,1,0,1,0,2,4,1802.9649012419127
1,1,3,3,0,0,4,1802.9957177946812
1,1,1,0,0,2,4,1803.062372754171
3,1,0,1,0,0,4,1803.109895265721
2,1,2,3,0,3,4,1803.1113242268636
0,1,3,0,0,1,4,1803.1555414372338
0,1,3,3,0,3,4,1803.1695951802676
1,1,2,1,0,2,4,1803.229870411098
0,1,0,3,0,1,4,1803.2632525980002
0,1,1,3,0,0,4,1803.2731801556993
1,1,0,3,0,0,4,1803.273330025815
1,1,3,0,0,3,4,1803.274543798475
1,1,1,1,0,1,4,1803.3081565986704
3,1,1,3,0,0,4,1803.3155367053491
1,1,0,2,0,0,4,1803.316382695316
0,1,1,2,0,0,4,1803.316590321455
1,1,3,2,0,0,4,1803.317665570154
1,1,1,2,0,1,4,1803.3854561314065
